Location,Address,Estimated Price,Style of Home,Developer,Units,Construction,Storeys,Features,Features Incl,Views,Nearby Parks,Nearby Amenities,Total Parking,Storage,Fine Print
King Edward Green Townhouses - 20 Vancouver Townhome Residences,587 West King Edward Avenue,"$1,200,000+",,The Circadian Group,"20, three-storey townhomes, plus James Residence (Hobbit House), 5 lane-facing lock-off units",,,interior design by Alda Pereira Design,,,steps away from Douglas Park,"located within walking distance to amenities such as Safeway, Riley Park and Doulas Park Community Centre plus a variety of restaurants and shops along the Cambie Corridor.",40 underground parking spaces,,
King George Hub at the Stations,9930 King George Hwy,TBD,Condos,PCI Group,434,Concrete,39,Located next to King George Skytrain station,,,Holland Park,,"A three-level underground, inter-connected parkade to provide commercial, residential, and retail vehicle and bicycle parking for all five of its blocks.",,
Kings Crossing by Cressey,7350 Edmonds St,TBD,Condos,Cressey,800,concrete,26-36 (3 buildings),"car-sharing program, bike storage",,Yes,"Central Park, Byrne Creek","shopping, golf, rec centre",,,
Kingsway & Duke | Vancouver East,Kingsway & Duke,,Condo,Coromandel Properties,219,,"4-storey, 5-storey & 2 X 10-storey",,Homes range from studios to 3-bedrooms,,"Norquay Park, Collingwood Park",Steps from Kingsway restaurants & shops + 10-minute drive to Metrotown,3 levels of underground parking,Yes,
Kingsway & Dumfries | East Vancouver,Kingsway & Dumfries,,Condo & Townhouse,Cressey Development,154,,"1 X 13-storey w/ 6-storey podium, 4 X 3-storey",,"1-3.5 bedroom homes, ranging from 560-1,597 sf",Mountains,Kingcrest Park & several others within walking distance,"steps to Save On/Famous Foods supermarkets, several restaurants, schools, Vancouver Public Library Kensington Branch, Kensington & Trout Lake community centres",2 levels of underground parking,Yes,
Kira | West Coquitlam,Dogwood St & Grover Ave,"Starting from $429,900",Condo,Woodbridge Homes LTD.,116,,6,,"1-3 BED, ranging from 542 - 1,136 sf + some suites w/ a balcony",,"Burquitlam Park, Mountain View Park","Shopping, dining, schools, parks & recreation",1,,
LATTICE at Milner Heights by Vesta,208th St. and 72nd Ave,"$489,900 to over $599,900",,Vesta,,,,,,,Langley Events Center,"Shopping, Dining, Great schools",,,
LIFT Langley,196th Street and 55A,,3 and 4 bedroom townhouses,Leone Homes,41,,,"Open floor plans, rooftop patio, 10ft high main floor ceilings and LED lighting","Energy star appliances, electric car charging and efficient heating",,"Brydon Park, Linwood Park","Willowbrook Mall, Costco, Restaurants, Retail, Schools",,,
LOTUS LIVING by Speedway Homes,"20860 76 Avenue, Langley, BC","$419,900 - $519,900",Townhomes,Speedway Homes,,Wood frame,3 Storey Plans,"master bedroom loft, window seats, fireplace in living room- all in select floor plans, quartz countertops.",,"Mount Baker, Langley City",Yes,"Shopping, parks, trails, community centre, restaurants",,,
Lakeside By Alture At Cultus Lake,Cultus Lake,"From $1,490,000",Condo,Alture Properties,21,,,,"2 - 3.5 BED, ranging from 1,180 – 1,677 sf",Lake views,Cultus Lake Provincial Park,Linked Lakeside trail & campgrounds; Cultus Lake Adventure Park & Waterpark; Cultus Lake Golf Club; Whispering Horse Winery; Save-On Foods supermarket,2 parking spaces,,
Landmark on Robson,1488 Robson Street,,,Asia Standard Americas,241,,32,,,"English Bay, Coal Harbour, Stanley Park, North Shore Mountains",Stanley Park,Shop,,,
Langara Family YMCA,282 W 49th Ave,,Condo,YMCA of Greater Vancouver Properties,158 market residences,,20,Next to Langara College,,,Beside Langara Golf Course & Langara Trail,Oakridge Centre shopping,"545 bicycles and 339 vehicles,",,
Langara House | Vancouver's West Side,Manitoba St & West 49th Ave,,Condo,Billard Architecture,35,Woodframe,4,"5,658 sf retail space","Studio, 1, 2 & 3 BED, ranging from 450 - 1,183 sf",,"Tisdall Park, Sunset Park","Oakridge Centre shopping, dining & conveniences; Langara Golf Course; Langara Family YMCA rec centre; Langara College + numerous schools (k-12)",2 level underground parking,,
Langara West - Green Vistas from VivaGrand,7516 Cambie,"$470,900 and higher","1, 2, and 3-bedroom residential units",VivaGrand Developments,87 residential,,6,"Air conditioning, 9-foot ceilings, Miele appliances",,Park,"Winona, Oak, Ash, Cambie",,,,
Langford Towers in Victoria,Orono Ave & Jackin Rd,,Condo,Western Canadian Properties Group,Tower A: 78 units; Tower B: 45 unites,,6,Roomy: 9’ ceilings & in-suite storage,,,Langford BC,"Restaurants, entertainment, schools, shopping and more",Tower A: 87 Underground; Tower B:50 Underground,,
Lansdowne District,5300 No 3 Rd,,,Vanprop Investments,"approximately 4,000 homes",,,located on the current site of Lansdown Centre Mall,,,five-acre Centre Park & Event Space,"Plazas, parks, gardens, promenades, playgrounds, restaurants, cafes, entertainment, big box stores, small boutiques, daycare, and more",,,
Lariva on Welcher | Port Coquitlam,Welcher Avenue and Donald Street,"$339,900 to $534,900",,Atti Group and Fresh Stone Trading,26,Woodframe,4,"Tastefully-appointed interior colour schemes, stainless steel Whirlpool appliances, Kohler fixtures, and matching island panelling",1- to 2-bedroom suites,,Gates Park,Proposed Port Coquitlam Recreation Complex & close to shops/restaurants/services in downtown Port Coquitlam,Secured underground parking,,
Latimer Heights | Langley,8207 202B Street,"Starting from $555,000",Townhouse & Single Family Home,Vesta Properties,259,,,,"3-4 bedrooms, ranging from 1,540-2,845 sf",,RC Garnett Park,"17 acres of parks, trails, elementary school and green spaces will be featured in Latimer Heights neighbourhood; close to major shopping outlets",Single & double rear detached garages + additional parking,,
Legacy on Dunbar | Vancouver Westside,Dunbar St & W 28th,,Condo,Qualex-Landmark,48,Woodframe,5,,"2- & 3-bedroom homes + 10,859 sf of commercial space",,"Balaclava Park, Pacific Spirit Regional Park",Steps from shops & services; grocery shopping at Stong’s Market; Dunbar Community Centre; Top-rated pre-schools & K-12 schools; Pacific Spirit Regional Park recreation; close proximity to UBC & beaches,2 levels of underground parking,,
Liberty at Fleetwood,17015 Fraser Hwy,,,Platinum Properties Group,98 x 3-bedroom townhomes;,,2-3 storeys,"3,650 sq ft of outdoor amenity space",Across from Surrey Golf Course,,Tynehead Regional Park,Fleetwood Town Centre shopping,Double car garage,,
LilacHaus on Vancouver's West Side,1753 W 11th Ave,,Condo,Dana Development Inc.,4,,3,"Passive house is a rigorous, voluntary standard for energy efficiency in a building, which reduces the building’s ecological footprint.","Passive heat sources (solar, appliances, lighting and occupants)",,Granville Park,Lord Tennyson Elementary School,1,1,
Lily Terrace by Lanstone in Langley,"9054 Glover Road, Langley, BC",,Condo,Lanstone Homes,24,,3,Just 24 Residences — Each Made One of a Kind,,,Fort Langley Park,"Fort Langley Village Farmer's Market, Veggie Bob's Kitchen Cafef, BC Liquor Stores, B&J Grocery and more",,,
Lily Terrace in Langley City,Church St & Francis Ave,"Starting from $799,900",Condo,Lanstone Homes,24,,3,,"1- & 2-bedroom + den suites, varying from 1,213 - 1,648 sf",,"Derby Reach Regional Park, Fort Langley Park & outdoor pool","Steps from cafes, shops & restaurants; 10min walk to Fort Langley National Historic Site; Close to Fort-to-Fort Trail",2,1,
Linea by Rize in Surrey City Centre,13318 104 Ave,,Condo/Townhouse,Rize,236,,28,28 storeys of stunning architecture by award-winning IBI Group,,,Royal Kwantlen Park,"Restaurants, entertainment, schools, pharmacies, public transportation and more",,,
Little Mountain Phase 1 | Vancouver East,E 37th Ave & Main St,,Condo,Holburn Properties,126,,8,,"Studios, 1-, 2- & 3-bedroom homes",,Queen Elizabeth Park,"Shops, restaurants & conveniences on Main St & Queen Elizabeth Park",2 levels of underground parking,,
Little Mountain is coming to Main,Main Street and 37th Avenue,,Various,Holborn,1400,,,"Retail and commercial space, village green, sustainability measures",,,Queen Elizabeth Park,"Parks, sports facilities, community centres, library, restaurants",These details are not yet available.,These details are not yet available.,
Lolo on 3rd Street North Vancouver,3rd St & St. David’s Ave,,Condo,Cascadia Green Development,181,Concrete Wood-frame,2 X 6-storey buildings,,Mixed-use development with two 6-storey buildings with 181 units,,"Moddyville Park, Victoria Park","Shops, services and restaurants of Lower Lonsdale",,,
"Loma | Maillardville, Coquitlam",Lougheed Hwy,,Condo,ML Emporio,179,,25,"9,524 sf of commercial space at base","122 market condos, 51 market rental, 6 below-market rental - Studio, 1, 2 & 3 bedroom units",Expansive views of the Lower Mainland,Mackin Park,"Mackin Park recreation, Eaglequest Golf, Cineplex Cinemas & Hard Rock Casino",Underground parkade w/ EV charging,Bike storage,
Lougheed Heights - by Bosa/Bluesky Properties - West Coquitlam - Burquitlam,581 Clarke Road,"Starting at $279,900",Condos,Bosa/Blue Sky Properties,390,Concrete,,pool,,yes,"Burquitlam Park, Burnaby Mountain","shopping, transit, golf, beach",,,
Lumina Brentwood in North Burnaby,2425 Beta Avenue,"Starting from $380,000s",,Thind Developments,863,,,,"1-, 2-, 3-bedroom suites",,Brentwood Park,"Shopping, entertainment, nature trails & walkways",1,Yes,
Luxia at Yorkson in Langley,209 St,,Townhomes,Isle of Mann and Pollyco Group,138,,,In the heart of the vibrant Yorkson community,,,,"Restaurants, entertainment, schools, park",,,
Lyra Residences in Victoria,4027 Rainbow St,,Condo,Lyra Residences Limited Partnership,39,,8,"Spacious, open-air balconies up to 413 square feet",,Panoramic views of Southern Vancouver Island,"Swan Lake Christmas Hill Nature Sanctuary, Vic Derman Park","10 minutes from University of Victoria, airport, ferries, downtown Victoria, Royal Oak, Cordova Bay, Cinema, School",,"Accessible, secure and heated storage on main floor",
MODE at the River District,3438 Sawmill Crescent,"From $533,900","Condos, townhouses & live-work units",Wesgroup,257,,26,High-efficiency heating and cooling,"1, 2 or 3 bedroom homes, townhouses, and live-work homes, ranging from 595 - 1,533 sf",Fraser River,Everett Crowley Park,,1 per unit + EV charging,Bike Storage,
MURRAYVILLE HOUSE by Newmark,"5020 221A Street, Langley","$199,900 +",Condominiums,Newmark Group,92,Wood frame,4,,,,,"Hospital, Golf, Rec Centre",,,
Mackenzie Park in Port Coquitlam,2356 Welcher Avenue,,Condo,Redekop Redale Group,40,,4,,,,"Elks Park, Gates park","Shops, restaurants and entertainment",,,
Madison & Dawson,4349 Dawson Street,"$298,000",Condo,Porete,92,Wood Frame,"6 (ground floor commercial, 5 floors Residential","private garden terrace features a barbeque and fire pit, a wet bar.",,,,"shopping, golf, canoeing, horse back riding",,yes,
Mahogany at Mill Lake,2180 Gladwin Road,,Condos,Quantum Properties,152,,26,9-foot ceiling heights on floors 4-23; 10-foot ceiling heights on floors 24-26; Floor to ceiling windows,,,,,,,
"Main & 20th In South Main, Vancouver East",Main St & East 20th Ave,"Sales from $649,000",Condo,Landa Global Properties,42,,4,,"1 BED loft homes & 2 BED condo homes, ranging in size from 500 – 1,500 sf",,Queen Elizabeth Park,"Close to several diverse and popular cafés, restaurants, grocers bars & shops; minutes from Queen Elizabeth Park amenities; Hillcrest Community Centre",1 level underground parking,,
Main & 20th by Landa Global in Vancouver,East 20th Avenue & Main Street,,Condos,Landa Global,42,,,open layouts with abundant natural light,,,Grimmett Park,"Shops, dining, schools, and parks",,,
Main Street Arts 2,1940 Main St,,Condo,PortLiving,49 market condominiums,,6,"4,600 sq ft, 37-space childcare facility","nearly 20,000 sq ft of retail space",,,steps from numerous Main Street corridor restaurants & shops; walking distance to Olympic Village,,,
Manoir in Richmond,"10495 Number 2 Road, Richmond, BC",,Townhouse,Everglade Development,12,,,"Towering 14’6” ceilings (*select homes) invite air and light to flow freely, resulting in an exceptional degree of spaciousness",,,London Park,"Elementary and Secondary Schools, Steveston Village, Shoppers Drug Mart, Kin's Farm, Starbucks",,,
"Maplewood Place - Family townhomes in Maplewood, North Vancouver",433 Seymour River Place,"from $274,900",condos/townhomes,Anthem Properties,61,wood,4,,,,Maplewood Park,"Skiing, shopping, golfing, swimming",,,
Marca by Mortise in South Surrey,1454 162b St,,Townhouse,Mortise,18,,,Luxurious 4 Bed + Media Room,,,,"Ocean Village Farm Market, South Meridian Elementary, Carlson Creek, Red Rooster Food Store and more",Double Garages,,
Marine + Fell | North Vancouver,"725 Marine Drive, North Vancouver",TBD,condos,Anthem Developements,92,wood,5,,,,,,,,
Marine X Cambie MC2 - A Presale Condo by Intracorp,8180 Cambie Street,"$259,000+",,Intracorp,443 homes across two towers,,31- and 24-storey towers,,,,,"17 minutes from downtown (via SkyTrain), 9 minutes from airport (via SkyTrain)",,,
Marquise by Blairmore Group at Cambie and King Ed Blvd,495 W King Edward,,,Blairmore Group,58,Concrete,6,"Miele stainless steel appliances, quartz countertops and backsplash, Blum Legrabox drawer system",,unobstructed views of downtown and North Shore Mountains,"Queen Elizabeth Park, Hillcrest Park, Douglas Park","Dining, Coffee shops, Parks, Schools",Minimum 1 parking stall per unit,,
Maverick by Tien Sher in Surrey,3660 Grosvenor Rd,,Condos,Tien Sher Group of Company,125,,5,,,,Hawthorne Park,"The Dell Shopping Centre, Gateway Station, Surrey Central, School",,,
Maywood On The Park In Burnaby,McKay & Silver Ave,"Starting from $399,900",298,Intracorp Homes,,,32,,"Studio, 1, 2, & 3 bedroom condos, ranging from 394 – 1,286 sf",City views,"Expanded Maywood Park, Central Park","5-min walk to Metrotown shopping, restaurants & services",333 vehicle underground parking,,
McCleery & Magee,3838 W 50th Ave,,single-family estate homes,TC Development Group,8 single-family estate homes,,,3 golf & country clubs within a 2-minute drive,,,Deering Island Park,Pacific Spirit Regional Park trails，Kerrisdale shopping & dining，Southlands Riding Club,,,
McKinley Beach | Kelowna's Lakefront Community,McKinley Beach,"Starting from $599,000",Townhouse & Single Family Home,North American Development Group & G Group,254,,,Kelowna's ONLY Lakeside Community,Homes varying from 1 - 4.5 bedrooms & 1224 - 1770 sf,Lake & nature,Designated parks,Only minutes from the city amenities in downtown Kelowna,Yes,Yes,
McKinnon by Cressey - 40 Immaculate Kerrisdale Pre-Construction Concrete Apartment Residences,Kerrisdale,,Condominiums,Cressey,40,Concrete,4,,,,,,179,,
Meridian by Townline in the centre of Burquitlam,Cottonwood Avenue & Clarke Road,,Condos,Townline,"194 market, 46 rental units",Concrete,32,near Burquitlam Station rapid transit,,,Burquitlam Park,close to Lougheed Town Centre shopping,,,
Midtown - A New Presale Condo in Vancouver's Mount Pleasant,589 East Broadway St.,"$289,900+","one-bedroom and two-bedroom suites, many including a den, two townhomes available",PortLiving,41 generously-sized condo residences,,,,,mountain views available,,,,,
Midtown Central - Mount Pleasant Built by PortLiving,702 E Broadway,,Condos,PortLiving,35,Wood Frame,4,,,,,Vancouver Community College,All units will have parking,Yes,
Midtown Modern - PortLiving Presents,630 E Broadway,,Studio and 1-bed,Portliving,50,Concrete,4,,,,Sahalli and Dude Chilling,"Trendy restaurants, shopping, nightlife. Mount Pleasant's best.",,,
"Milano - High Living, High Style by Solterra Developments","2450 Alpha Ave, Burnaby","starting from $298,900",Condos/townhomes/live work,Solterra,177,concrete,30,outside theatre,,Yes,Central Park,"shopping, skiing, golf, swimming",,,
Mirabel Vancouver by Marcon,1345 Davie St,,Condo,Marcon,153,,2 towers 18&19 storeys,• Contemporary light-filled interiors designed by Alda Pereira Design Inc.,,,Nelson Park & Stanley park,"Cafes, shops, bars and restaurants",220,yes,
Monogram by Alliance Partners,709 Victoria Drive,"From $1,199,900",Boutique,Alliance Partners,6,Currently under construction,3,,,,"Salsbury Park, Woodland Park","Shopping, Dining, Schools, Breweries",,Included,
Mont Bleu by Newgen at Coquitlam,837 Lougheed Hwy,,High Rise,Newgen,147,Concrete,21,,,,,"Schools, dining",239,,
Montage in Burnaby Heights by Epta Properties,"438 Gamma Avenue, Burnaby",,1-3 bedrooms Condos,EPTA Properties,22,Concrete,5,,,,,,,,
Montrose Square by Quantum Properties,Mary Hill Road & Kelly Avenue,Contact for Pricing,Condos,Quantum Properties,360,Wood,6,,,,,,,,
Monument Kitsilano by Epta Properties on Vancouver's Westside,2501 W Broadway,,Condos and Townhomes,Epta Properties,22,,4,"Green rooftop flourishes with trees, shrubs, and groundcovers",5 min. from Kits Beach & Granville Island,,Cannaught Park,"Schools, parks, supermarkets, shops, cafes, Kitsilano Community Centre and Farmers Market",48,,
Mulgrave Park - Executive Single Family Homes by British Pacific Properties,2900 Burfield Place - West Vancouver,"$2,698,000",Single Family Lots/Homes,British Pacific Properties,6,Wood,3,exclusive architectually designed homes,,Amazing views of the city and water,Cypruss,"Shopping, Skiing, Golf",Private Garage,,
Nanaimo West | East Vancouver,Nanaimo St & Dundas St,"Starting from $1,05,900",Townhouse,Legendary Developments,6,,,,"3-4 bedrooms, gourmet kitchen, spa-like bathroom, luxury design & finishing",,Pandora Park,"PNE, schools, parks, shops & conveniences",1,200 sf,
Natura by Naturbana Properties | Abbotsford,Horn Creek Park,,,Naturbana Properties,,,5,Heat recovery ventilation & ductless split system air conditioning,"1, 2 and 3 bedrooms + large windows & spacious balconies",Nature,Horn Creek Park,"Steps from the shops, eateries, and conveniences of the new Central Park Village",,,
Nature's Gate | West Kelowna Townhomes,Tallus Ridge & Mountains Hollow Lane,Starting from the mid-500’s,Townhouse,N/A,23,,,,3-bedroom + 3-bathroom,Nature,Shannon Lake & Golf Course,"Minutes from grocery stores, restaurants, schools, recreation, boutique shopping, the beach & hiking/biking trails",Up to 4 parking spots,Yes,
Nature's Walk by Onni in Pitt Meadows,Sutton Avenue,,Townhomes,Onni Group,,,3,Private professionally-equipped gym,,,,"Shops, dining, schools, and parks",2,,
"Nest YYC | Mission, Calgary",17 Ave SE,"Starting from $229,500",Condo,Bowman Development,82,Concrete,15,,"Studio + 1 BED homes, ranging from 415 - 556 sf","Elbow River Valley, the Rocky Mountains & the Calgary skyline",Lindsay Park,17th Ave Entertainment & Shopping District; Repsol Sports Centre; Elbow River Pathways,Car-free living; bike friendly set-up,,
Norquay Nine,2396 East 34th Avenue,,Townhouse,Bosworth Ventures,9,,3,"Prewired security system, full sprinkler system, hardwired smoke detector","8' ceilings, wide-plank resilient flooring, spacious balconies, stacked washer and dryer","North Shore Mountains, Downtown","Norquay Park, General Brock Park, Jones Park, Renfrew Ravine Park","Shops, schools, services, transit, and community centre",,Bike storage,
"North Road In Burquitlam, Coquitlam",North Road & Shephard Ave,,"Condo, Townhouse & Rental Apartments",Townline Properties,539,,45- & 18-storey,Built to LEED Silver equivalency,"1-,2- & 3-bedroom homes, ranging from 509 – 960 sf",,"Lyndhurst Park, Cottonwood Park","Lougheed Town Centre shopping, dinning & conveniences; Simon Fraser University; Stoney Creek Trail System; The Vancouver Golf Club",5 levels of underground parking w/ EV charging,,
North Shore Winter Club Lands,1325 Keith Rd E,,Condos,Darwin Construction,,,"26-, 29, 32-, 5-,6-",new pedestrian bridge across Lynn Creek,,,Seylynn Park,"Restaurants, entertainment, schools, pharmacies, shops",,,
Northwest by Onni - Presale Condo at Cambie & Marine Drive,8175 Cambie Street,,"1-, 2- and 3-bedroom condo homes",Onni,around 350 units,2 architecturally sculpted concrete high rises,,spacious balconies,,,near Ash Park,"next to 470,000 square feet of theatres, shopping and restaurants",,,
OVATION by Domus Homes in New Westminster,813 Carnarvon Street,,Condo,Domus Homes,204,Concrete,31,,,,Simcoe Park,"Restaurants, entertainment, schools, pharmacies, fitness centre and more",,,
Oakridge Centre by Westbank,650 W 41st Ave,,Condos,Westbank,2914,Concrete,9-44,"a 3.64-hectare (nine-acre) public park, a 6,503-square-metre (70,000-square-foot) civic centre",,,,"Library, daycare, rooftop gardens，outdoor running loop，outdoor amphitheatre",,,
One Park in Downtown Richmond,8091 Park Road,,Condos,Grand Long,318 market residences,,15,Surrounds an expansive and beautiful elevated city park,,,Brighouse Park,"Richmond Centre, Richmond-Brighouse Station, Restaurants, and Services",618 vehicle parking stalls,,
One Park: Phase One | Richmond,6655 Buswell St,"Starting at $499,900",Condo,Grand Long Holdings,117,Concrete,16,,"1-3 bedroom homes + penthouse units ranging in size from 485 - 1,458 sf",,Minoru Park,"CF Richmond Centre shopping, restaurants & services",Yes,Yes,
One Shaughnessy In Port Coquitlam,Shaughnessy St & Pitt River Rd,,Condo,Kutak Development,33,,6,,"Studio, 1-, 2- & 3-bedroom units, ranging from 441 - 1,173 sf",Mountains & nature,"Gates Park, Mundy Park, Colony Farm Regional Park","Shops, restaurants & conveniences of downtown Port Coquitlam, multiple schools & Costco",Revolutionary mechanized parking system,Bike storage + storage facility,
Osler Residences - Live Large in South Vancouver,8500 Osler,,Townhomes,Alabaster Homes,18 Homes,,4 Storey,Central Heating and Cooling,,,,,,,
Outlook in Downtown Nanaimo,Downtown Nanaimo,,Condo,Parkshore Project Ltd.,,,5,Each home enjoys a spacious deck or patio,Porcelain tiled bathroom floors with European laminate flooring throughout the rest of the suite,,,,Secure underground parking,,
PARK AVENUE WEST by Concord Pacific,9908 King George Avenue,"Starting @$182,000- $250,000",Condo/Townhome,Concord Pacafic,424 Units,Currently under construction,46,Tennis Courts,,,"Holland Park, Bear Creek Park","Surrey Central City Mall, Transit Hub, Whalley Athletic Park, Holland Park, Bear Creek Park",,,
PRESTWICK at Milner Heights by Vesta,"7059 210th Street , Langley, BC",Starting in the Mid-$500k,Townhouse,Vesta,95,Wood frame,3,"Master on the Main floorplans, 9' Ceilings, Side by Side Garages",,,,"Hospital, Golf, Schools",2,,
PROMENADE AT THE QUAY,"118 Carrie Cates Court, North Vancouver",TBD,Condo,Polygon,117,Concrete,12,"Waterfront location, breathtaking views",,"Yes, downtown vancouver, north shore mountains",Waterfront park,"shopping, dining, skiing, golfing, boating, marina",,,
Pacifico - Elegant homes in North Burnaby,"7174 Barnet Rd, Burnaby, BC, Canada","$313,000 and up",Condos and Townhomes,Dolomiti Homes,21,Wood,3,,,,Emerson,"shopping, hiking, skiing, lakes",,,
Paradigm by Wesgroup at River District,River District,"Starting from low $400,000s",Condo + Townhouse,Wesgroup Properties,,,,,"1, 2, 3 bedroom condos + townhomes",Fraser River,"Kinross Park, Everett Crowley Park","Shops, restaurants & conveniences at River District's Town Centre public plaza",,,
Parc East - by Trillium Development,Atkins & Shaughnessy - Port Coquitlam,Mid 200's,condos,Trillium Projects,57,wood,4,,,,Gates Park,"shopping, entertainment, west coast express",,,
Parc Elise - A New Condo Development on Vancouver's Cambie Corridor with Pricing & Floor Plans,4488 Cambie Street,"$290,900+",Townhomes and Apartments,DAVA Developments,102,,6,Fully Air Conditioned,,,Steps from Queen Elizabeth Park and VanDusen Gardens,,"Plans submitted to the city call for 106 parking spots, along with 61 storage spaces in the underground lot. Subject to change",,
Parc Riviera - Final Phase of the newest waterfront community in Richmond,10177 River Drive,,Condominiums,Dava Developments,98,,6,"mountain views, water views, city views, 24 hour security, bicycle storage, underground parking, visitor parking, children's play area, gym, hot tub, pool",,"mountain, water, city",,"Canada Line, shopping centres, Cambie High School",,,
Park Boulevard 9875 Whalley,9875 Whalley,$350K Starting,,Concord Pacific,,Concrete,,Signature interactive light display,,Mountains and Green Timbers Urban Forest,Holland Park,"Shopping, Dining",,,
Park George by Concord Pacific in Surrey,"13768 - 100 Avenue, Surrey, BC",,Condo & Limited Townhomes,Concord Pacific,Tower 1: 339 units; Tower 2: 337 units,,Tower 1: 39 Floors; Tower 2: 36 Floors,24/7 Concierge Service/ Building Security,"Wifi Coverage in all amenities, elevators & parkade",,Holland Park,"Park George is at the centre of Surrey's best transit network, shopping, parks and Universities",,,
Park Grand Vancouver,1488 Park Dr,,Townhouse,Grand Lake Developments,17,,3,,,,"Shannon Mews Park, Shannon Park","Shops, restaurants, entertainment, schools and more",,,
Park Hill in Langley,20087 68 Avenue,,Condo and Townhouse,Forewest Group,145,,4,6 private parks within the Park Hill community + built in secured greenway with new bridge,,,,,,,
Park House on Cambie Corridor,477 W 59th Ave,,Condos,Vantac Holdings,86,Concrete,6,highly sought-after Cambie Corridor location,,,Winona Park,"Marine Gateway, Oakridge Centre, Safeway, T&T, Shoppers, Services",126,,
Park West at Lions Gate,"1633 Capilano road, North Vancouver",,Condos,Pacific Gate Developments,263,Concrete,19 & 23,Public plaza,,"Yes, Downtown, water, mountain",Capilano River,"Shopping, entertainment, nature, ski hill",415,,
Parker House - Windsor Gate,"1152 Windsor Mews, Coquitlam",,1 and 2 bedroom condos,Polygon,,Wood,4,"18,000 square feet of resort-inspired amenities, guest suites",,,Glen Park,"shopping, entertainment, nature, skytrain",,,
"Parker by Mosaic Homes | City Centre, Surrey",139 St & 105A Ave,,Condo & Townhouse,Mosaic Homes,218,,3 X 4-storey,,"1-,2- & 3-bedroom homes with high quality design",,Forsyth Park & Hawthorne Rotary Park,"20,000 sf outdoor amenity space, Dell Lanes bowling, Central City Shopping Centre & Guildford Town Centre",Underground parking lot,Yes,
Parkgate Townhomes by Texor Homes at the base of Mt. Seymour,"3508 Mount Seymour Parkway, North Vancouver","From $669,900",Townhome,Texor Homes,16,Wood,3,Heat pump provides quiet eco-friendly air conditioning and heating for complete year-round home comfort and energy savings,,None,"Mount Seymour,","Skiing, Shopping, Golfing, Beaches, Kayaks",2,,
Parkview Townhomes In Burnaby,Dominion St & Gilmore Ave,"Starting from $549,900",Townhouse,NC Trading Company,18,Woodframe,3,,"2 BED + 2 BATH homes, ranging from 689 to 1,023 sf",Park,"Boardview Park, Avondale Park","Minutes from several fine dining options; Close to multiple parks, schools & rec centres; Short drive to Deer Lake Park & Trails; BCIT; 10-mins to Metropolis at Metrotown shopping",Underground parking,Underground storage,
Passages by Rize Alliance | Surrey City Centre,Whalley Boulevard and 101 Avenue,,,Rize Alliance,"1,126",,"38-storey, 30-storey, 21-storey, 13-storey, 11-storey & 6-storey",Central plaza with local-serving retail and restaurant space,,,Holland Park,"Central City Shopping Centre - includes shops, restaurants & recreation","Underground parking for 1,155 vehicles",,
Pearl Block In Victoria,Pearl & Shelbourne,"Starting at $799,000",Townhouse,Aryze Developments,6,,3,,"3 bedroom townhomes, ranging from 2,236 - 3,700 sf",,"Oaklands Park, David Spencer Park","Several restaurants, cafes, shops, grocers, gyms, schools, beaches & services in very close proximity",1 car garages,Yes,
Peregrine South | Tsawwassen Shores,Blue Heron Way & Osprey Drive,"Starting from $269,900",Condo,Aquilini/TFSI Development LP,108,Woodframe,4,,"1-2 bedroom condos, ranging from 488 - 1,067 sf",Tsawwassen Shores,Winskill Park,"Tsawwassen Mills & Tsawwassen Commons shopping; beach trails & new boardwalk; South Delta Recreation Centre, Tsawwassen Springs; Beach Grove golf clubs; 25 minute drive to Vancouver",Secure underground parkade,,
Perron On Vancouver's West Side,Yukon St & West 59th Ave,Starting from low $800's,Townhouse,Listraor Homes,31,,3,,1-4 bedroom homes,"Vancouver skyline, Winona Park","Winona Park, Queen Elizabeth Park & more!","20 minutes to downtown Vancouver; close to several schools (k-12); UBC; Cineplex Cinemas Marine Gateway; several grocers, restaurants & shops only minutes away",,,
Pier West by Bosa in New Westminster,750 Quayside Drive,TBD,Condos,Bosa,649,Concrete,53,,,Faser River,"Waterfront Esplanade and Park, Westminster Pier Park",,1012 stalls,,
"Pinehurst At Bear Mountain | Victoria, BC",Bear Mountain,"Sales from $449,000 - $649,000",Single Family House,Ecoasis Developments,39,,,,"Sizes of homes ranging from 6,400 - 12,800 sf",Amazing mountain & ocean views,Goldstream Park,Hiking & mountain bike trails; Bear Mountain Resort; North Langford Recreation Centre; Goldstream Boathouse; shopping & services of Millstream Village; 30 minutes to amenities of Downtown Victoria,Per your specifications,Per your specifications,
Pinnacle Apartment Homes In Langford,Orono Avenue & Jacklin Road,,Condo,Western Canadian Properties Group,,,,Centralized Tankless Hot Water,Individual Heat pump/Air Conditioning,,Langford BC Softball Field,Just a short drive from downtown Victoria,Underground Parking,,
Platform - Clarke & Moody,Clarke & Moody - Port Moody,TBD,"condos, lofts, & townhomes",Aragon Properties,104,wood,6,,,,,,,,
Polaris by Transca Development at Metrotown,6699 Dunblane Avenue,,,Transca Development,313,,36,,,,Bonsor Park,"Shopping, Dining",,,
